CID;SMILES;SHBd;MLFER_S;nBase;maxsssN;MLFER_BH;minssNH;MDEN-23;MLFER_BO;MATS4e;ATSC1c;GATS4e;MATS1v;maxsCH3;MATS4m;ATSC1v;MDEO-11;AATSC1v;ETA_dEpsilon_D;MLFER_L;MATS1c;SdO;WTPT-3;ATSC4e;AATSC4s;GATS1c;GATS1e;WTPT-4;WTPT-5;C1SP3;MATS4s;AATSC4e;MDEN-22;ATSC4s;ATSC4m;AATS2i;MLFER_E;SpDiam_Dt;SHAvin;BCUTc-1h;SaaN;ETA_Beta_s;GATS6p;GATS6e;SpMin1_Bhp;MATS3s;AMR;GATS3c;JGI5;GATS1s;pIC50 AVG
145866280;COC1=CC2=C(C=C1)NC(=O)C23CC3C4CCC5C(C4)NNC5C#CC6=CC=C(C=C6)CN7CCOCC7;0.830201185;2.717;1;2.43749383;1.942;3.131811677;0.265664642;2.011;-0.035953495;-0.274528913;0.736936603;0.051629911;1.684593836;-0.067004411;211.9588588;0;2.649485735;0.03678;18.098;-0.296929266;13.08295789;21.16245422;-0.45791927;-0.025139722;1.313514201;0.820010892;8.370894725;12.7915595;5;-0.033912712;-0.001999647;0.784136938;-5.756996439;-520.4339939;153.5621122;2.831;817.1259103;0;0.207912054;0;25;1.092338525;1.036978034;1.972993861;-0.004192864;94.7036;0.906968158;0.021363169;0.600912236;6.259637311
145866293;C1CC2C(CC1C3CC34C5=CC=CC=C5NC4=O)NNC2C6=CC=C(C=C6)CN7CCOCC7;0.728117033;2.522;1;2.471071588;1.753;3.148136704;0.325348818;1.815;-0.04541824;-0.213955354;0.793438042;0.069640692;0;-0.062183259;265.665059;0;3.590068365;0.0399;16.93;-0.289933715;12.93816282;18.38521456;-0.488071332;-0.002771941;1.319332799;0.801691635;5.569440412;12.81577414;5;-0.003905289;-0.002150094;0.784136938;-0.629230644;-472.816229;152.7774259;2.769;680.3544725;0;0.207869877;0;22.5;1.107659578;0.945758798;1.988889197;-0.008026211;78.8244;0.920029384;0.017667824;0.58594961;6.259637311
145866259;COC1=CC2=C(C=C1)NC(=O)C23CC3C4CCC5C(C4)NNC5C=CC6=CC=C(C=C6)CN7CCC(C7)F;0.763366891;2.592;1;2.19277893;1.58;3.130155588;0.265664642;1.66;-0.049911158;-0.254356175;0.775951706;0.063423254;1.681941173;-0.052160334;263.3577043;0;3.251329682;0.03745;18.152;-0.305997325;13.0813018;20.64122724;-0.7748868;-0.041261671;1.30985701;0.685721289;5.368862588;12.76058942;3;-0.033744211;-0.003255827;0.784136938;-9.820277778;-431.7238994;153.4415609;2.823;810.0137608;0.393317398;0.207909011;0;24.75;1.053454545;0.886070923;1.969806687;-0.033225127;92.5973;0.894558173;0.024197531;0.54222641;6.259637311
145866272;CC1CN(CC(N1)C)C2=CC=C(C=C2)C3C4CCC(CC4NN3)C5CC56C7=C(C=CC(=C7)OC)NC6=O;0.862588437;2.453;1;2.502310239;1.828;3.148940283;0.628755095;1.915;-0.07858591;-0.295219285;0.905971308;0.064368211;2.263728004;-0.068141762;269.8449855;0;3.290792506;0.04834;18.611;-0.34667932;13.12370164;21.20209994;-0.941018173;-0.018194971;1.417748467;0.850422188;5.36894887;15.83315107;4;-0.027081324;-0.003647357;0.91283615;-4.694302574;-589.6238555;154.0127273;3.012;762.9943889;0;0.207901961;0;24.5;0.989195209;0.972860454;2.007701499;-0.014067086;92.2777;1.064361531;0.026309524;0.651810161;6.259637311
145866273;CN(C)C1CCN(C1)C2=CC=C(C=C2)C3C4CCC(CC4NN3)C5CC56C7=C(C=CC(=C7)OC)NC6=O;0.715763777;2.679;1;2.515041721;1.929;3.149645557;0.624537798;2.007;-0.056231677;-0.239970313;0.858011487;0.046540836;2.183320226;-0.077100441;195.1089064;0;2.379376907;0.03716;18.369;-0.287639683;13.12104282;21.26147057;-0.67073008;-0.023814061;1.36294684;0.832532658;5.368948788;15.89252178;2;-0.036012375;-0.002609845;0.784136938;-6.120213672;-664.5565851;155.1858447;3.005;756.4979618;0;0.207894088;0;24.75;0.96592432;1.037160097;1.978835491;8.86E-06;90.9854;0.949061214;0.026903292;0.616497648;6.259637311
145866322;COC1=CC2=C(C=C1)NC(=O)C23CC3C4CCC5C(C4)NNC5C6=CC=C(C=C6)N7CCN(CC7)C8CCCC8;0.695760553;2.829;1;2.73678356;1.915;3.160049085;0.624537798;2.007;-0.067093585;-0.250010957;0.883625241;0.05698697;1.69930912;-0.091246112;264.0036228;0;2.933373587;0.03407;20.222;-0.296212519;13.16498821;21.76349928;-0.807409035;-0.018020716;1.370328417;0.826219511;5.368950402;16.39454887;4;-0.02966214;-0.002904349;0.784136938;-5.009758915;-843.935428;153.9307015;3.213;867.7609564;0;0.207918468;0;26.75;0.928926229;1.032175111;2.004766559;0.024155359;97.7512;1.02832008;0.025094162;0.584969851;6.259637311
134145489;COC1=CC=CC=C1C2=CN3CCCCC(CCCCCCCNC4=NC=C2C3=N4)O;0.615402304;2.794;0;0;1.918;3.401748026;0.944940787;1.789;-0.035006854;-0.392628086;1.060440367;0.007019842;1.705055348;0.028688967;24.28050464;0;0.357066245;0.03037;17.695;-0.519699068;0;18.34537692;-0.322289358;-0.025960036;1.57018418;0.954963976;5.332476457;13.01290046;2;-0.041765618;-0.001732738;1.5;-4.828566732;179.8421635;155.7103202;3.013;715.760904;0;0.207239801;9.474169433;20;0.991282594;0.968192542;2.038111855;0.030058336;55.1051;1.029517744;0.020098039;0.910140743;6.259637311
9413573;COC(=O)C1=CC=C(C=C1)NC(=O)C2=NNC3=CC=CC=C32;1.071614907;2.782;0;0;1.194;2.74706798;0;1.217;-0.186429471;-0.308822128;1.371701712;0.03420564;1.320142102;-0.147330635;58.73523007;0.125;1.58743865;0.04659;11.681;-0.479373916;23.63533881;17.06786295;-1.268336712;-0.269380611;1.448713037;0.716454758;7.774635425;9.293227522;0;-0.139820217;-0.017374476;1.310370697;-19.66478458;-364.5906343;151.5711932;2.337;278.6173598;0;0.269254441;4.039291695;14;0.891674697;0.896755653;1.981611841;0.045536933;22.7299;0.948786763;0.025252525;0.564022664;6.258060922
145993259;CCCC(C)NC1=NC=C2C(=CN(C2=N1)C3CCC(CC3)O)C4=CC(=NC=C4)C(=O)OC;0.671750314;3.135;0;0;2.392;3.406080004;1.074569932;2.233;-0.0685101;-0.527827457;1.008718777;-0.005500072;2.16117119;0.048522957;-17.95331765;0.083333333;-0.272019964;0.03143;17.574;-0.569421762;11.99784415;23.81332093;-0.78774002;-0.079277759;1.605515539;0.856924918;7.731763201;16.08155773;2;-0.069646118;-0.004579884;1.537788071;-13.63577447;291.9645379;156.8689706;2.987;475.8049423;0;0.286105728;13.59373924;21.25;1.053515675;0.887183309;2.042201431;0.061116111;60.2117;1.05112784;0.024863834;0.743575204;6.253365801
16750331;C1C=CCOCC2=CC(=CN=C2)C3=NC(=NC=C3)NC4=CC=CC(=C4)CO1;0.434757338;3.29;0;0;2.503;3.258954712;0;2.417;-0.019958236;-0.292609144;1.124538989;-0.013902096;0;0.102971671;-34.44556579;0;-0.688911316;0.01843;15.873;-0.435524285;0;18.59068228;-0.148801767;0.021901774;1.424628355;0.900503052;6.083329517;12.50735276;4;0.044949847;-0.001240015;1.853144012;2.628212867;416.1149443;154.423889;3.234;545.7035319;0;0.256842726;13.25431079;18;0.919861244;0.902672999;2.063422165;-0.029745099;35.7056;1.04524233;0.013550136;0.854243316;6.251811973
667885;C1CCC2=C(C1)C(=C(S2)NC(=O)C=CC3=CC=CO3)C(=O)N;0.979756408;2.81;0;0;1.206;2.893484295;0;1.273;0.109663945;-0.428242484;0.730102732;0.082450445;0;0.00575138;168.2560578;0.166666667;4.206401445;0.06636;13.633;-0.62318602;23.83062544;16.66562225;0.759618135;-0.092404949;1.579285776;0.766354129;7.986810415;5.517643301;0;-0.047100472;0.009378002;0;-7.484800879;23.03064503;148.7280425;2.034;288.6773272;0.605944573;0.224931392;0;13.75;0.809629492;1.382937746;1.879079748;-0.035152893;49.6795;1.030692765;0.027788462;0.614468207;6.251811973
